Variant,Logit_OR_scored,Logit_p,ZTP_IRR_scored,ZTP_p,Net_EY_ratio
A) Binary score state (primary),0.7012,<.001,1.0554,<.001,0.9407
B) On-ice time shares,0.7183,<.001,1.0604,<.001,0.9505
